pid,circle,map,line,area,bar,net,point,diagram,matrix,table,word,class,path
18,0.011214945,0.046348662,0.014364895,0.003273816,0.001990201,0.225133582,0.362652596,0.307917279,0.019507501,0.006565896,0.001030648,point,./static/imdb_vis30k/17.png
19,0.00047615,0.008938565,0.023174445,0.031687318,0.000350988,0.000503379,0.013385957,0.908234103,0.000760246,0.000493384,0.011995475,diagram,./static/imdb_vis30k/18.png
20,5.00E-06,2.81E-07,0.000106035,4.14E-05,0.369795193,7.22E-06,1.22E-05,0.629983123,8.18E-06,3.54E-05,5.96E-06,diagram,./static/imdb_vis30k/19.png
21,0.010601329,6.15E-05,0.005583416,0.304160004,0.533105421,6.20E-05,0.068258246,0.000325062,0.057311291,0.020224855,0.000306843,bar,./static/imdb_vis30k/20.png
22,0.35219291,0.013484216,0.000524229,0.000980019,0.010868236,0.101383576,0.027650106,0.463507367,0.024349855,0.000704988,0.004354481,diagram,./static/imdb_vis30k/21.png
23,0.000428579,0.001198047,0.003217114,0.000318416,0.918511367,0.004763157,0.00181242,0.006817009,0.000812626,0.060434218,0.001687072,bar,./static/imdb_vis30k/22.png
24,0.003645606,0.000336068,0.003124025,0.004729085,0.023173464,0.003985734,0.000884556,0.598462957,0.340657597,0.014205575,0.006795326,diagram,./static/imdb_vis30k/23.png
25,0.000318602,5.75E-07,0.001070648,5.74E-05,0.9982935,9.98E-06,0.000216056,1.62E-05,1.38E-05,1.27E-06,1.91E-06,bar,./static/imdb_vis30k/24.png
26,1.10E-05,0.666908979,1.58E-05,0.000509487,0.00025431,0.000511803,0.000110295,0.322087382,0.009122667,1.10E-05,0.000457186,map,./static/imdb_vis30k/25.png
27,0.044510002,0.084444815,0.109544006,0.016209861,0.081104762,0.075532493,0.36232697,0.085375595,0.128870705,0.008816166,0.003264632,point,./static/imdb_vis30k/26.png
28,0.012837528,0.00118146,0.004553884,0.000833124,0.00271291,0.092358592,0.00693125,0.863063579,0.004305761,0.003778907,0.007443017,diagram,./static/imdb_vis30k/27.png
29,0.000181798,0.000252606,0.000605043,0.008733098,0.005254443,0.00031295,0.000244482,0.334641431,0.64465136,0.004237903,0.000884838,matrix,./static/imdb_vis30k/28.png
30,0.003785128,0.006009718,0.47942514,0.002722673,0.000211004,0.012174601,6.13E-05,0.494630989,0.000712139,8.97E-05,0.000177628,diagram,./static/imdb_vis30k/29.png
31,0.418910038,4.50E-05,0.000140288,0.000114492,3.47E-05,0.033548431,0.000185288,0.542946692,0.003779779,9.76E-05,0.000197684,diagram,./static/imdb_vis30k/30.png
32,0.002677153,0.00031339,0.003551845,0.000388092,0.010074391,0.004170167,0.000652543,0.046016461,0.010071846,0.00448371,0.917600403,word,./static/imdb_vis30k/31.png
33,0.001038268,6.54E-05,0.024577279,0.611745206,0.045442017,0.002450236,0.002235713,0.278592958,0.022184717,0.004156722,0.007511432,area,./static/imdb_vis30k/32.png
34,0.006406915,0.00475632,0.485717927,0.00735227,0.005891714,0.236489558,0.004153495,0.240438228,0.001251313,0.000670679,0.006871623,line,./static/imdb_vis30k/33.png
35,0.022576245,0.001792871,0.039035825,0.013186888,0.591476537,0.014455713,0.038287271,0.227402689,0.017221878,0.022847339,0.011716821,bar,./static/imdb_vis30k/34.png
36,0.00015534,0.002646518,0.000170273,0.000164978,0.000154401,0.008523287,0.000148321,0.338228881,0.078729384,0.56741577,0.003662863,table,./static/imdb_vis30k/35.png
37,0.00057298,0.000243373,0.00067528,0.001424475,0.001974685,0.009706226,9.16E-05,0.984044814,0.000217466,0.000696098,0.000352975,diagram,./static/imdb_vis30k/36.png
38,0.021501355,0.004709553,0.048368807,0.000214255,0.000900981,0.887284884,0.003459533,0.031680614,0.000442849,9.66E-05,0.001340547,net,./static/imdb_vis30k/37.png
39,0.004600103,0.005800166,0.006871916,0.003327205,0.018194993,0.035362428,0.004047645,0.084468863,0.014919165,0.673135019,0.14927255,table,./static/imdb_vis30k/38.png
40,6.48E-05,0.02048268,0.004797084,0.001197279,8.00E-05,4.40E-05,8.15E-05,0.972232757,0.000487014,0.000172326,0.000360599,diagram,./static/imdb_vis30k/39.png
41,0.004128484,0.000354827,0.006384155,0.006336532,0.025568502,0.008498708,0.001091624,0.022418776,0.013722015,0.882693481,0.028802913,table,./static/imdb_vis30k/40.png
42,0.001717072,0.005420073,0.001252282,0.001133445,0.013904011,0.004478813,0.000603142,0.31392412,0.424790903,0.028372067,0.20440404,matrix,./static/imdb_vis30k/41.png
43,0.00016156,0.000123645,9.09E-05,0.000178493,0.986116157,9.80E-05,4.79E-05,0.000105107,0.009995932,0.001374152,0.001708051,bar,./static/imdb_vis30k/42.png
44,0.109405491,0.000102882,0.001193737,0.000228498,0.005844909,0.000594644,0.853177813,0.00011243,0.02871194,0.000562456,6.52E-05,point,./static/imdb_vis30k/43.png
45,0.122293986,0.034951148,0.002171633,0.009018013,0.00233012,0.252302514,0.002135532,0.541122721,0.009559554,0.008573534,0.015541271,diagram,./static/imdb_vis30k/44.png
46,0.066184846,0.036046378,0.001411188,0.00098191,0.01153183,0.40726149,0.192145582,0.003297357,0.264077861,0.00157972,0.015481845,net,./static/imdb_vis30k/45.png
47,0.002398348,0.142900753,0.00988086,0.000519863,0.000901028,0.022136298,0.104652431,0.312889046,0.402880309,0.000595864,0.000245236,matrix,./static/imdb_vis30k/46.png
48,0.001864489,8.71E-06,0.823832939,0.003243712,0.134320732,0.008000443,0.023736251,0.003948175,0.000953203,6.62E-05,2.52E-05,line,./static/imdb_vis30k/47.png
49,0.014953019,0.000184444,0.755433371,0.007205354,0.189586227,0.004210438,0.01032009,0.004703033,0.003243166,0.005124013,0.005036885,line,./static/imdb_vis30k/48.png
50,0.011378796,0.633273295,0.000677064,0.000739816,0.000293304,0.01697908,0.002563377,0.322397275,0.01132222,4.64E-05,0.000329403,map,./static/imdb_vis30k/49.png
51,0.616390897,0.001118576,0.001798138,0.000519494,0.00100375,0.005580391,0.001405291,0.339057233,0.030675648,0.000729027,0.00172159,circle,./static/imdb_vis30k/50.png
52,0.004625253,0.002816832,0.028566434,0.004248147,0.056173187,0.095668206,0.004682385,0.459556371,0.035051562,0.254088047,0.054523605,diagram,./static/imdb_vis30k/51.png
53,0.01500808,0.017004774,0.01110604,0.01432755,0.023349967,0.080928393,0.017956813,0.705419407,0.103036501,0.002406841,0.009455623,diagram,./static/imdb_vis30k/52.png
54,0.006325237,0.106583073,0.009156102,0.000883696,0.004255992,0.741571326,0.043759251,0.032586682,0.024272822,0.000626736,0.029979122,net,./static/imdb_vis30k/53.png
55,0.001311011,0.000565886,0.002744765,0.00054096,0.011447891,0.411812209,0.52557634,0.037415063,0.001214835,0.001014786,0.006356252,point,./static/imdb_vis30k/54.png
56,0.013169865,0.314476396,0.015148044,0.055012238,0.007964687,0.209226204,0.026032457,0.18124221,0.145689897,0.002046417,0.029991602,map,./static/imdb_vis30k/55.png
57,3.92E-05,0.003891499,0.061391244,0.002327279,1.62E-05,0.000440485,1.52E-05,0.928026537,0.000411297,2.67E-05,0.00341436,diagram,./static/imdb_vis30k/56.png
58,0.002023762,0.000605969,0.608839118,0.030023459,0.002115078,0.036353201,0.01301016,0.301502421,0.001146282,0.003137601,0.001242938,line,./static/imdb_vis30k/57.png
59,0.064673481,0.011768236,0.013991151,0.003818778,0.002092138,0.313841899,0.00181087,0.579892773,0.003322245,0.002242581,0.002545849,diagram,./static/imdb_vis30k/58.png
60,0.080487285,0.008970566,0.000288512,0.0001504,0.002188992,0.315882241,0.001310962,0.588363214,0.000658513,0.000601872,0.001097516,diagram,./static/imdb_vis30k/59.png
61,0.001240906,7.36E-05,0.001186422,0.002656565,0.133692534,0.000982903,0.000436816,0.165667471,0.098817868,0.588093027,0.007151823,table,./static/imdb_vis30k/60.png
62,0.021845952,0.009507361,0.045415226,0.015468497,0.390108855,0.116244743,0.019883789,0.144363409,0.008999409,0.043061261,0.185101548,bar,./static/imdb_vis30k/61.png
63,0.032252613,0.000433073,0.056302004,0.097078787,0.586149083,0.009410739,0.089448284,0.126058508,0.001560674,0.001096018,0.000210243,bar,./static/imdb_vis30k/62.png
64,0.000177395,5.33E-05,0.917171523,0.024341549,0.002006092,0.001422417,0.050059712,0.002960145,0.001416775,0.000336905,5.42E-05,line,./static/imdb_vis30k/63.png
65,0.00715313,0.000636409,0.022978251,0.003926974,0.361301753,0.046032358,0.006989049,0.145412994,0.007090139,0.387898574,0.01058037,table,./static/imdb_vis30k/64.png
66,0.003356606,0.000697658,0.83329749,0.043790142,0.014603934,0.00103324,0.007489281,0.008923889,0.05701639,0.027031801,0.002759622,line,./static/imdb_vis30k/65.png
67,0.107010691,0.013940643,0.01038607,0.05828621,0.007517769,0.031444197,0.001169295,0.341169191,0.008254463,0.008324947,0.41249655,word,./static/imdb_vis30k/66.png
68,0.000241353,5.04E-06,0.00022186,0.000168703,0.003872366,8.80E-05,7.27E-05,0.001427768,0.000230039,0.99359881,7.34E-05,table,./static/imdb_vis30k/67.png
69,0.711163968,9.83E-06,9.80E-06,1.57E-05,9.68E-06,6.31E-05,1.09E-05,0.28857389,2.85E-05,6.27E-06,0.000108353,circle,./static/imdb_vis30k/68.png
70,0.00033266,9.40E-06,0.000762191,0.000246468,0.000332626,0.00141222,0.000144268,0.040335056,4.40E-05,0.956227013,0.000154153,table,./static/imdb_vis30k/69.png
71,0.017287856,0.001065677,0.163936092,0.023694239,0.709348406,0.003516917,0.013854047,0.000853276,0.039878484,0.023909019,0.002656065,bar,./static/imdb_vis30k/70.png
72,0.00022668,0.000901749,0.000139384,0.000625886,0.000496915,0.002732281,0.000641125,0.160818837,0.833066578,0.000137331,0.000213248,matrix,./static/imdb_vis30k/71.png
73,8.40E-07,0.001423694,5.95E-07,1.74E-06,2.12E-06,0.000451348,6.35E-06,0.963089551,0.035001043,2.57E-06,2.01E-05,diagram,./static/imdb_vis30k/72.png
74,0.000220269,3.24E-05,0.001187063,0.000199303,0.000943477,0.001040381,0.000190315,0.001829399,0.000141423,0.993720087,0.000495822,table,./static/imdb_vis30k/73.png
75,0.322424763,0.023903367,0.003393514,0.004172121,0.265436255,0.012692308,0.004140236,0.099210331,0.22400305,0.004313929,0.036310143,circle,./static/imdb_vis30k/74.png
76,0.010080748,0.005957502,0.3619465,0.172216103,0.005973472,0.006509936,0.003288604,0.336838423,0.030013373,0.0651457,0.002029627,line,./static/imdb_vis30k/75.png
77,0.002200787,0.000175946,0.752824016,0.001771942,0.001547626,0.00433913,0.229541139,0.005808621,0.001393423,0.000175938,0.000221434,line,./static/imdb_vis30k/76.png
78,3.70E-05,0.000964753,0.0026174,0.003505747,0.001192105,2.21E-05,0.000256359,0.165843718,0.75732026,0.003146756,0.065093771,matrix,./static/imdb_vis30k/77.png
79,0.000180097,0.01087314,6.51E-05,3.73E-05,3.15E-05,0.002303823,2.42E-05,0.913543026,0.072882193,2.01E-05,3.95E-05,diagram,./static/imdb_vis30k/78.png
80,2.16E-05,0.000477646,0.000119896,7.46E-05,5.65E-06,0.000123062,2.02E-06,0.998019864,0.000914147,6.91E-05,0.000172493,diagram,./static/imdb_vis30k/79.png
81,0.001035856,0.001683052,0.000499463,0.000250731,0.024104992,0.017169737,0.000867591,0.808119379,0.128284452,0.009605976,0.008378758,diagram,./static/imdb_vis30k/80.png
82,0.000183463,2.76E-05,2.49E-05,4.17E-05,0.999359517,5.29E-06,4.59E-05,9.82E-06,0.000212863,3.43E-05,5.47E-05,bar,./static/imdb_vis30k/81.png
83,0.00065489,3.88E-05,1.62E-05,0.002389929,0.83250371,8.09E-05,0.000137933,0.000152493,0.143130262,0.019561279,0.001333708,bar,./static/imdb_vis30k/82.png
84,7.73E-05,0.000258004,0.000807408,0.001657919,0.001682612,0.002097958,0.00042497,0.208806447,0.000970659,0.782084169,0.001132576,table,./static/imdb_vis30k/83.png
85,0.019311592,0.000164749,0.242534424,0.43200491,0.029330491,0.001972207,0.001738077,0.269566787,0.001283561,0.00124532,0.000847874,area,./static/imdb_vis30k/84.png
86,0.000325835,0.000118659,0.006610011,0.001428048,0.000988636,0.002745214,0.000332743,0.003082806,0.000314168,0.9831665,0.000887378,table,./static/imdb_vis30k/85.png
87,0.004166835,0.000119935,0.001951918,0.013029883,0.947929484,0.000197781,0.00130989,0.000381998,0.028616101,0.001788761,0.000507405,bar,./static/imdb_vis30k/86.png
88,0.022628819,0.002828205,0.006906836,0.001644837,0.199460388,0.023967736,0.040370363,0.077404192,0.071504339,0.017233387,0.536050917,word,./static/imdb_vis30k/87.png
89,1.99E-05,0.583982549,1.89E-05,0.000753224,0.000798802,0.002102947,0.000646612,0.34565426,0.065579479,0.000287046,0.000156267,map,./static/imdb_vis30k/88.png
90,0.001063826,0.001688455,0.002957767,0.00546553,0.8144426,0.000437242,0.003864171,0.078110542,0.085679124,0.001207069,0.005083652,bar,./static/imdb_vis30k/89.png
91,5.22E-05,0.138330241,7.63E-06,0.000102872,3.84E-05,0.000194214,0.000321461,0.168984763,0.69194985,1.08E-05,7.54E-06,matrix,./static/imdb_vis30k/90.png
92,0.000145253,0.000188695,0.515430078,0.003117657,0.14441338,0.029163368,0.00018037,0.299451839,0.004093811,0.002637411,0.001178144,line,./static/imdb_vis30k/91.png
93,3.48E-06,4.24E-05,4.58E-07,1.39E-05,9.68E-07,9.00E-06,4.69E-06,0.696495698,0.303421139,2.69E-06,5.59E-06,diagram,./static/imdb_vis30k/92.png
94,0.00010106,1.44E-05,0.000107524,0.000295675,1.46E-06,0.078381796,1.74E-05,0.92094482,3.10E-05,6.89E-05,3.60E-05,diagram,./static/imdb_vis30k/93.png
95,0.002175892,0.001104632,0.278041785,0.006867955,0.005860951,0.036127038,0.652901674,0.0012504,0.005819018,0.008442403,0.001408251,point,./static/imdb_vis30k/94.png
96,0.0025157,0.000659785,0.062532519,0.002388434,0.000563217,0.448031287,0.018629198,0.456675134,0.007257628,0.000221721,0.000525368,diagram,./static/imdb_vis30k/95.png
97,0.001136321,0.238196405,0.007395575,0.602402402,0.043096766,0.005392287,0.000679998,0.061874616,0.037125744,0.000797496,0.001902387,area,./static/imdb_vis30k/96.png
98,2.57E-05,1.91E-06,0.002217815,0.571861713,2.84E-05,3.51E-05,2.34E-05,0.42534713,1.90E-05,2.49E-05,0.000414936,area,./static/imdb_vis30k/97.png
99,0.003693331,0.110025956,0.089037949,0.060074648,0.139892744,0.027697095,0.021111148,0.266341434,0.076941127,0.0455596,0.159625004,diagram,./static/imdb_vis30k/98.png
100,0.127153996,0.000777744,0.001357575,0.0078808,0.000421366,0.039115808,0.001903204,0.764735509,0.05136728,0.000667485,0.004619213,diagram,./static/imdb_vis30k/99.png
101,0.046952678,0.001818044,0.088915288,0.011155284,0.708879804,0.013202653,0.034024695,0.041523587,0.014169091,0.032343232,0.00701568,bar,./static/imdb_vis30k/100.png
102,0.004294843,0.013820274,0.01431648,0.00718449,0.429264558,0.021494138,0.015983214,0.206133773,0.172201674,0.083576152,0.031730381,bar,./static/imdb_vis30k/101.png
103,0.068464503,0.013408768,0.011095981,0.001510234,0.000448244,0.660599094,0.225828364,0.008298985,0.009257369,0.000468868,0.000619637,net,./static/imdb_vis30k/102.png
104,0.005707048,0.000169375,0.009498281,0.000737539,0.959094261,0.005177395,0.014705588,0.003007531,0.00140946,0.000373869,0.00011967,bar,./static/imdb_vis30k/103.png
105,0.043533438,0.009084655,0.005177185,0.007185142,0.019664635,0.040866797,0.005790862,0.491243229,0.283864856,0.086903209,0.006685983,diagram,./static/imdb_vis30k/104.png
106,0.000506176,0.002623468,0.00066009,0.001085083,0.001691298,0.002338297,0.000295092,0.890891989,0.086874789,0.010009656,0.003024056,diagram,./static/imdb_vis30k/105.png
107,0.594904204,0.00037994,1.56E-05,0.007035053,0.001252624,2.38E-05,0.000428383,0.387907643,0.006576082,7.98E-05,0.001396847,circle,./static/imdb_vis30k/106.png
108,0.047159688,0.006389263,0.002238094,0.001412686,0.027092066,0.264866828,0.081110404,0.052907915,0.472540576,0.028393256,0.015889188,matrix,./static/imdb_vis30k/107.png
109,0.0030098,0.00011151,0.029723868,0.407955812,0.246876429,7.65E-05,0.084311993,0.218039475,0.006241199,0.000287926,0.003365486,area,./static/imdb_vis30k/108.png
110,0.000900197,0.000403955,0.000271331,0.001596407,0.008349099,0.000622496,0.000199309,0.041504021,0.846951366,0.098002659,0.001199204,matrix,./static/imdb_vis30k/109.png
111,0.000105153,0.000211881,0.719258098,0.015444208,7.14E-05,0.000144943,8.99E-05,0.264487204,4.47E-05,9.89E-05,4.35E-05,line,./static/imdb_vis30k/110.png
112,0.580212388,0.015121369,3.68E-05,0.005002429,0.01956866,0.000824789,0.000487162,0.377040744,0.000597318,5.40E-05,0.001054364,circle,./static/imdb_vis30k/111.png
113,0.000648257,0.067900652,0.006793891,0.000359305,0.002181202,0.891517307,0.002943602,0.017443543,0.007374289,0.001214987,0.001622952,net,./static/imdb_vis30k/112.png
114,0.00017575,5.01E-05,0.004777652,0.002654279,0.000259156,0.001496951,0.000126443,0.005732426,0.000161073,0.983655286,0.000910895,table,./static/imdb_vis30k/113.png
115,0.000162339,0.459013606,0.000230996,0.000311622,0.000698654,0.011640913,0.002181034,0.170906313,0.350009037,0.000974867,0.003870654,map,./static/imdb_vis30k/114.png
116,0.255986949,4.74E-06,0.000234594,0.66423963,0.000666159,1.09E-05,3.42E-05,0.07851581,1.81E-05,4.18E-06,0.000284807,area,./static/imdb_vis30k/115.png
117,0.000129374,0.000584991,2.75E-05,9.79E-05,0.00047043,0.004183413,0.000862223,0.001758022,0.991524291,0.000166137,0.000195758,matrix,./static/imdb_vis30k/116.png
118,0.684988741,0.014949242,0.000723385,0.000442532,0.000839214,0.25736272,0.00413223,0.032926345,0.003477628,2.46E-05,0.000133374,circle,./static/imdb_vis30k/117.png
119,0.000684359,0.011615732,4.23E-06,9.40E-06,3.00E-05,0.000446023,8.94E-06,0.978354471,0.008792744,2.04E-05,3.37E-05,diagram,./static/imdb_vis30k/118.png
120,0.00192681,0.128858644,0.216384755,0.041951357,0.150783034,0.003689441,0.008300724,0.349009412,0.08883585,0.007839305,0.002420617,diagram,./static/imdb_vis30k/119.png
121,0.000333383,0.000167039,9.94E-05,0.00108205,0.000446607,0.000223818,0.000196269,0.945867929,0.051352594,2.59E-05,0.000205038,diagram,./static/imdb_vis30k/120.png
122,0.399028591,0.133043948,0.036442168,0.009727579,0.012819329,0.088292791,0.194329156,0.027424046,0.049337267,0.045866343,0.003688791,circle,./static/imdb_vis30k/121.png
123,0.002274779,0.000937171,0.02599257,0.102803023,0.006719071,0.001202482,0.00199438,0.527248889,0.097722726,0.161725098,0.071379844,diagram,./static/imdb_vis30k/122.png
124,7.13E-05,0.000102594,8.75E-05,0.000101161,0.978689943,0.000117432,0.000109144,0.000158454,0.020270178,0.000140157,0.000152142,bar,./static/imdb_vis30k/123.png
125,0.009348428,0.003508488,0.499355996,0.084996099,0.21741175,0.003903774,0.003139948,0.07427869,0.096545321,0.00181801,0.005693481,line,./static/imdb_vis30k/124.png
126,0.002060241,0.005637917,0.000273633,0.000196323,0.003643779,0.862438509,0.043640166,0.047504357,0.010233432,0.000727971,0.023643739,net,./static/imdb_vis30k/125.png
127,0.016799662,0.013686384,0.018070436,0.002920974,0.001549352,0.405652058,0.012792146,0.138720793,0.004389985,0.005041836,0.38037632,net,./static/imdb_vis30k/126.png
128,0.001256768,0.002052549,0.002834145,0.010208518,0.406924333,0.007784918,0.002178107,0.118598504,0.051269789,0.261677604,0.135214725,bar,./static/imdb_vis30k/127.png
129,0.890824976,4.91E-05,5.09E-05,4.28E-05,0.000308432,0.028663434,0.0756563,0.000364305,0.003997498,2.68E-05,1.56E-05,circle,./static/imdb_vis30k/128.png
130,0.012105313,0.003066414,0.056765606,0.537125312,0.03026516,0.160637083,0.01354395,0.062715232,0.116115925,0.003508268,0.004151686,area,./static/imdb_vis30k/129.png
131,0.000106438,0.012186222,0.000111835,0.001058605,4.18E-06,0.000291499,0.000121249,0.183443001,0.801432173,0.000746431,0.000498362,matrix,./static/imdb_vis30k/130.png
132,0.002462644,0.004023983,0.003405205,0.001514368,0.00580036,0.036173425,0.001803203,0.936803561,0.002094332,0.004630347,0.001288592,diagram,./static/imdb_vis30k/131.png
133,0.017853704,0.001363493,0.008720218,0.000674095,0.033017125,0.731789633,0.101729302,0.095179905,0.005855537,0.000348962,0.003467936,net,./static/imdb_vis30k/132.png
134,0.096437392,0.058474604,0.000842593,0.001566524,0.001571082,0.180983304,0.003116357,0.355689986,0.290031943,0.005805827,0.00548042,diagram,./static/imdb_vis30k/133.png
135,0.000194346,0.000625157,3.50E-05,3.56E-05,3.12E-05,0.064214637,0.000142574,0.928007607,0.006232466,9.87E-06,0.000471632,diagram,./static/imdb_vis30k/134.png
136,0.750270747,0.000184336,0.000445555,0.001043768,0.028630038,0.010773423,0.001180813,0.187092858,0.016838908,0.00208619,0.001453308,circle,./static/imdb_vis30k/135.png
137,0.017908643,0.00305138,0.000668146,0.001816271,0.033775246,0.001274169,0.001241371,0.270760778,0.667537814,0.00097371,0.00099249,matrix,./static/imdb_vis30k/136.png
138,0.016168926,0.004828943,0.417859929,0.036594453,0.101762724,0.047600602,0.015227493,0.089589243,0.008810032,0.132335997,0.129221673,line,./static/imdb_vis30k/137.png
139,6.27E-07,3.81E-07,4.94E-07,2.21E-07,1.70E-06,1.77E-06,5.54E-08,0.999974551,1.25E-06,1.07E-05,8.23E-06,diagram,./static/imdb_vis30k/138.png
140,3.33E-05,0.00032912,1.53E-05,2.56E-05,0.000412386,0.000575226,2.01E-05,0.004070586,0.993976891,0.000467358,7.42E-05,matrix,./static/imdb_vis30k/139.png
141,0.012303836,0.002077159,0.462740037,0.043980276,0.235611032,0.022734404,0.135398366,0.078516169,0.004481578,0.000850378,0.001306759,line,./static/imdb_vis30k/140.png
142,0.001041297,0.000178875,0.000386894,0.000961268,0.003716783,0.000108618,0.003602506,0.002215416,0.987348857,0.000286688,0.000152785,matrix,./static/imdb_vis30k/141.png
143,0.006364328,0.00700024,0.039423232,0.011816668,0.030250314,0.156622616,0.004269276,0.109040742,0.003804937,0.460095126,0.171312527,table,./static/imdb_vis30k/142.png
144,0.00021187,0.005918219,0.007222086,0.008297733,0.000205116,0.000533673,0.001003592,0.95064942,0.022548004,0.000193165,0.003217112,diagram,./static/imdb_vis30k/143.png
145,0.002250172,0.00055965,0.00093906,0.005911181,0.12032519,0.001529004,0.000920528,0.008005294,0.663802863,0.17605603,0.019700958,matrix,./static/imdb_vis30k/144.png
146,0.08383666,0.002606383,0.009185468,0.012272742,0.002246981,0.193968174,0.011515863,0.475316269,0.017356114,0.122379811,0.069315591,diagram,./static/imdb_vis30k/145.png
147,0.005503801,0.00021566,0.132000871,0.031115203,0.676687856,0.004866619,0.003238517,0.073169796,0.004833026,0.057283282,0.01108538,bar,./static/imdb_vis30k/146.png
148,0.234343187,0.019251369,0.002570383,0.008187048,0.028267183,0.062983194,0.107241413,0.091157966,0.438780239,0.003478642,0.003739327,matrix,./static/imdb_vis30k/147.png
149,0.001692109,1.26E-06,0.005751814,5.91E-05,0.988961734,1.03E-05,0.000554427,0.002360804,0.000536764,4.06E-05,3.11E-05,bar,./static/imdb_vis30k/148.png
150,0.000184415,0.01621814,6.45E-05,0.001988142,9.86E-06,6.24E-05,1.61E-05,0.981034484,0.000380143,1.03E-05,3.15E-05,diagram,./static/imdb_vis30k/149.png
151,0.82585711,0.098764666,0.000355494,0.001003294,0.000271383,0.001196361,0.000629982,0.050820018,0.00377807,0.000225002,0.017098681,circle,./static/imdb_vis30k/150.png
152,0.015192036,0.012738784,0.014220911,0.010513564,0.20958566,0.113481155,0.00688867,0.081050452,0.122006919,0.372468755,0.041853086,table,./static/imdb_vis30k/151.png
153,0.718844523,0.000779972,0.000336813,0.000184395,0.00101814,0.006251384,0.241596428,0.001122797,0.029751063,6.67E-05,4.77E-05,circle,./static/imdb_vis30k/152.png
154,0.000134979,0.014132637,0.052779312,0.004315351,4.59E-05,0.008032305,0.001642017,0.646907915,0.270937795,0.000803468,0.000268307,diagram,./static/imdb_vis30k/153.png
155,1.54E-05,0.000291918,6.65E-05,0.000439424,1.27E-05,0.000677053,0.000191486,0.170720264,0.642411306,0.184837401,0.000336459,matrix,./static/imdb_vis30k/154.png
156,0.021074019,0.045472363,0.003240794,0.007836728,0.022220632,0.007325284,0.06923605,0.014716047,0.795720973,0.00964641,0.003510679,matrix,./static/imdb_vis30k/155.png
157,3.31E-05,9.25E-07,9.46E-05,1.56E-05,0.886211529,1.95E-06,1.43E-06,3.98E-05,1.88E-05,0.113492084,9.02E-05,bar,./static/imdb_vis30k/156.png
